,x
1,PCK2
2,PCK1
3,LDHC
4,FBP2
5,BPGM
6,ALDH3A2
7,ALDH3A1
8,LDHAL6B
9,GAPDH
10,G6PC3
11,LDHAL6A
12,ALDOA
13,PGAM4
14,AKR1A1
15,PGAM2
16,FBP1
17,ADPGK
18,PGAM1
19,PGK1
20,ALDH1A3
21,PKLR
22,ALDOB
23,HKDC1
24,PFKP
25,PFKM
26,PFKL
27,HK3
28,PDHB
29,PGK2
30,GCK
31,LDHB
32,PKM
33,PDHA2
34,ALDH3B2
35,ALDH3B1
36,PDHA1
37,GPI
38,DLD
39,HK2
40,ACSS2
41,ACSS1
42,HK1
43,GAPDHS
44,PGM2
45,PGM1
46,ENO1
47,ENO2
48,DLAT
49,ENO4
50,ALDH9A1
51,ALDH7A1
52,ALDH1B1
53,GALM
54,ALDOC
55,G6PC2
56,ADH7
57,ADH6
58,ADH5
59,ADH4
60,G6PC
61,TPI1
62,ALDH2
63,LDHA
64,ENO3
65,ADH1C
66,ADH1B
67,ADH1A
68,MINPP1
69,CS
70,MDH2
71,MDH1
72,FH
73,IDH3A
74,OGDH
75,IDH3B
76,IDH3G
77,PC
78,OGDHL
79,IDH2
80,IDH1
81,SUCLG2
82,SUCLG1
83,ACO1
84,ACO2
85,DLST
86,SUCLA2
87,SDHA
88,ACLY
89,SDHC
90,SDHB
91,SDHD
92,TALDO1
93,GLYCTK
94,H6PD
95,RPEL1
96,RBKS
97,DERA
98,PGD
99,PRPS2
100,PRPS1
101,TKTL1
102,TKTL2
103,TKT
104,RPIA
105,RGN
106,IDNK
107,RPE
108,PRPS1L1
109,G6PD
110,PGLS
111,DCXR
112,UGT2A3
113,UGT2A2
114,UGT2A1
115,DHDH
116,UGT1A9
117,UGT1A4
118,UGT1A5
119,UGT1A6
120,UGT1A7
121,UGT1A1
122,UGP2
123,UGT1A3
124,AKR1B10
125,UGT1A10
126,UGT2B15
127,UGDH
128,UGT2B17
129,UGT2B10
130,UGT2B11
131,GUSB
132,UGT2B7
133,UGT2B4
134,CRYL1
135,SORD
136,UGT2B28
137,ISPD
138,AKR1B1
139,KL
140,UGT1A8
141,XYLB
142,GMDS
143,TIGAR
144,PMM2
145,PMM1
146,FUK
147,ENOSF1
148,KHK
149,GMPPA
150,GMPPB
151,FPGT
152,PFKFB1
153,PFKFB3
154,PFKFB2
155,PFKFB4
156,TKFC
157,MPI
158,TSTA3
159,LALBA
160,GLA
161,MGAM
162,B4GALT1
163,B4GALT2
164,MGAM2
165,GAA
166,GALT
167,GANC
168,LCT
169,GALK1
170,GALE
171,GLB1
172,SI
173,MIOX
174,PGM2L1
175,AGL
176,GYG1
177,PYGB
178,GYG2
179,GBE1
180,GBA3
181,PYGL
182,PYGM
183,AMY2A
184,AMY2B
185,ENPP3
186,ENPP1
187,GYS1
188,GYS2
189,TREH
190,AMY1A
191,AMY1C
192,AMY1B
193,RENBP
194,CYB5R4
195,CYB5R3
196,CYB5R2
197,CYB5R1
198,GNPDA2
199,GNPDA1
200,GNE
201,CHIA
202,CHIT1
203,CMAS
204,AMDHD2
205,NANP
206,NANS
207,UAP1
208,GNPNAT1
209,UXS1
210,UAP1L1
211,PGM3
212,NAGK
213,NPL
214,HEXA
215,HEXB
216,GFPT1
217,GFPT2
218,CYB5RL
219,GRHPR
220,ME3
221,ME1
222,ME2
223,ACAT1
224,HAGH
225,ACAT2
226,LDHD
227,GLO1
228,ACACA
229,ACACB
230,ACOT12
231,ACYP1
232,ACYP2
233,MUT
234,PCCB
235,PCCA
236,CAT
237,GLUL
238,GLDC
239,AFMID
240,PGP
241,HYI
242,MCEE
243,AMT
244,SHMT2
245,SHMT1
246,HOGA1
247,AGXT
248,HAO1
249,HAO2
250,GCSH
251,ABAT
252,ACADM
253,HADHA
254,ACSS3
255,ALDH6A1
256,EHHADH
257,MLYCD
258,DBT
259,ECHS1
260,BCKDHB
261,BCKDHA
262,HIBCH
263,ECHDC1
264,ACADS
265,AACS
266,GAD1
267,GAD2
268,ACSM1
269,ACSM3
270,ACSM5
271,ACSM4
272,ACSM6
273,HMGCLL1
274,HMGCS1
275,HMGCS2
276,HMGCL
277,ACSM2A
278,ACSM2B
279,BDH2
280,BDH1
281,HADH
282,L2HGDH
283,OXCT1
284,OXCT2
285,ALDH5A1
286,OCRL
287,PI4KB
288,PI4KA
289,PLCZ1
290,IPMK
291,PLCB3
292,INPP4B
293,PLCG2
294,PLCG1
295,PI4K2B
296,PI4K2A
297,CDIPT
298,ITPKA
299,INPPL1
300,PIK3CA
301,PIK3CB
302,PIK3CD
303,FIG4
304,INPP4A
305,PIK3CG
306,PLCH2
307,ITPKC
308,PLCH1
309,SYNJ1
310,SACM1L
311,ITPKB
312,SYNJ2
313,MTMR7
314,MTMR6
315,MTMR4
316,PIP4K2A
317,PIP5KL1
318,MTMR1
319,PIP4K2B
320,ITPK1
321,PLCB1
322,PLCB2
323,MTMR14
324,PLCB4
325,ISYNA1
326,PIKFYVE
327,MTM1
328,MTMR8
329,IMPA1
330,PIK3C2A
331,PIK3C2G
332,PLCD3
333,PLCD4
334,PLCD1
335,PLCE1
336,PIK3C3
337,IPPK
338,INPP5A
339,INPP5B
340,INPP1
341,INPP5D
342,INPP5E
343,INPP5F
344,PIK3C2B
345,PIP5K1C
346,MTMR3
347,PIP5K1A
348,INPP5K
349,IMPA2
350,MTMR2
351,PTEN
352,PIP4K2C
353,PIP5K1B
354,IMPAD1
355,INPP5J
356,MT-CO1
357,MT-CO2
358,MT-CO3
359,NDUFB9
360,NDUFB8
361,NDUFB7
362,NDUFB6
363,NDUFB5
364,NDUFB4
365,NDUFB3
366,NDUFB2
367,NDUFB1
368,UQCRQ
369,UQCRH
370,UQCRB
371,NDUFAB1
372,MT-ND1
373,MT-ND2
374,MT-ND3
375,MT-ND4
376,MT-ND5
377,MT-ND6
378,NDUFC2-KCTD14
379,ATP6AP1
380,NDUFB11
381,NDUFB10
382,NDUFA10
383,NDUFA11
384,NDUFA12
385,NDUFA13
386,ATP6V0D2
387,ATP6V0D1
388,ATP5MF
389,COX6A1
390,NDUFA4L2
391,COX6A2
392,ATP5ME
393,UQCRFS1
394,UQCRC2
395,UQCRC1
396,ATP6V1D
397,ATP6V1F
398,ATP6V1A
399,ATP6V1H
400,COX8C
401,COX6B1
402,COX6B2
403,COX7B2
404,MT-ND4L
405,UQCRHL
406,COX6C
407,MT-CYB
408,COX8A
409,COX7A1
410,COX7A2
411,ATP5PO
412,ATP5PD
413,ATP5F1E
414,ATP5PF
415,ATP5F1A
416,ATP5PB
417,ATP5F1C
418,TCIRG1
419,ATP6V1G3
420,ATP6V1G2
421,ATP6V1G1
422,COX10
423,COX11
424,COX15
425,COX17
426,PPA2
427,PPA1
428,NDUFV3
429,NDUFV2
430,NDUFV1
431,MT-ATP8
432,NDUFA6
433,NDUFA7
434,NDUFA4
435,NDUFA5
436,NDUFA2
437,NDUFA3
438,NDUFA1
439,NDUFA8
440,NDUFA9
441,COX4I2
442,COX4I1
443,MT-ATP6
444,ATP6V1E1
